,comments,sentiment
569,Ardara dite'ilasa era sathe mila ne'i..!!,Negative
570,Dama anuyayi bhala pan'ya.,Positive
571,Dama anuyayi aneka bhalo.,Positive
572,"Koyaliti bhalo na,",Negative
573,Khuba bhalo lagalo.,Positive
574,E'i damera madhye bhala.,Positive
575,Koyaliti khuba baje,Negative
576,"Bastabe kapara ta, chabira mata ujjala na!",Negative
577,Dama tulanaya bhala,Positive
578,Bhuya ekata prodakta..!!,Negative
579,E'i damera madhye bhala'i ha'icha.,Positive
580,"Ardara kara pradaktera sathe delibhari pradaktera kona mila na'i,",Negative
581,Pyanta chera pa'ichi,Negative
582,Ca'ichilama 34 peyechi 30  bata koyaliti bhalo,Positive
583,Khuba kharapa,Negative
584,Kastamarera birakti karana halena.,Negative
585,Mane hacche yena karo byabahrta puratana kapara.,Negative
586,Damera tulanaya prodaktera gunagata mana yathesta bhalo,Positive
587,Paketa alada baje kapara diye lagano.,Negative
588,Ekadama baje abastha kaparera...,Negative
589,Bhalo koyaliti.,Positive
590,Kaparata'o hatasaya phele deya,Negative
591,Ami ye panya ardara karechilama se'i anuyayi panyati pa'i na'i.,Negative
592,Phatote pyantera kalarera sathe mila pa'i ni....,Negative
593,Chabira sathe kona mila na'i,Negative
594,Koyaliti aneka kharapa,Negative
595,Amara kache besa bhalo legeche mana anuyayi,Positive
596,Nimna manera prodakta diche,Negative
597,Amara pan'yati pherata diba,Negative
598,Bhuya saba prodakta,Negative
599,"Khuba'i nimnamanera ekata kalo kalarera jyaketa pathiyeche, ya hatasajanaka.",Negative
600,Byabahara kare arama peyechi.,Positive
601,Daruna.! Kapara o bes,Positive
602,No prabalema..,Positive
603,"Prodakta o sundara, sta'ila.",Positive
604,Byaga ta besi chota. Parsonala amara bhala lagena.,Negative
605,Dhoka kha'ilama,Negative
606,Prodakta phe'ika,Negative
607,Prodakta halo rastara prodakta era mato,Negative
608,Asthira byaga..,Positive
609,Saba miliye bhala,Positive
610,Bhala kintu dama besi.,Positive
611,Kharapa na bhala'i lagala.,Positive
612,Dekhate thika chabira mato. Kaparera mana bhalo.,Positive
613,Chabira sathe prodaktera 100% mila ache.,Positive
614,"Ce'ina era abastha bhalo na,",Negative
615,Motamuti bhala'i disaka'unta pra'ija hisabe thika ache.,Positive
616,Arijinala panya peyechi.,Positive
617,Epeksa kompanira kache erakama asa karini.,Negative
618,Bhala prodakta.,Positive
619,Eta kona dharanera citari,Negative
620,Byaparata khuba'i lajjajanaka.,Negative
621,Ma'ikrophona ta nasta dibe..,Negative
622,Mulyera sathe sarbhisera samanjasya ache.,Positive
623,Pra'ija dutira samanmaya daruna ta'i daraja janapriya ana la'ine sirse marketa sthana dakhala kare ache!,Positive
624,E'i sarita ami kinechi khuba bhala,Positive
625,Daraja koyaliti,Positive
626,"Ekata panya kinabo bale bhabalama
eta abhiyoga!!!",Negative
627,"Prodaktatira abastha bhalo chila na,",Negative
628,Mane hacche puro takata'i dhara khelama.,Negative
629,Nimnamanera prodakta.,Negative
630,Sabaceye sera baje panyera madhye ekati,Positive
631,Eti khuba sundara,Positive
632,Ekhana dekhi pura'i dhara,Negative
633,Bhalo prodakta.,Positive
634,Eta bhalo'i.,Positive
635,Ami santusta,Positive
636,Khuba'i bhala prodakta ,Positive
637,Prodakta saman'ya bhana chila,Negative
638,Motamuti bhalo'i,Positive
639,Kona kamaple'ina ne'i.,Positive
640,Bajarera ceye kama dame peyechi,Positive
641,Prodakta era koyaliti yathesta bhala,Positive
642,Khuba'i bhala prodakta.,Positive
643,Kona samasya chara byabahara karatechi.,Positive
644,Jinisa ta bhala,Positive
645,E'i yugera jan'ya ekadama madarna paraphekta jinisa.,Positive
646,Prodakta ta aneka bhala.,Positive
647,Koyaliti niye kona abhiyoga ne'i,Positive
648,Pare ta pherata diye dite badhya hayechi.,Negative
649,Dhan'yabada daraja,Positive
650,Eta khuba'i bhala jinisa.,Positive
651,Ekadama arijinala.,Positive
652,Eta eta ninmamanera prodakta ye bale bojhano yabena.,Negative
653,Khuba bhala pradakta.,Positive
654,E'i taka'i bhala'i ache.,Positive
655,Kharapa na.,Positive
656,Amara aneka bhalo lage eta diye mubhi dekhate.,Positive
657,"Bhalo'i prodakta,",Positive
658,Ami eta kine labha karechi.,Positive
659,Eta diye mubhi dekhara anubhutita'i alada.,Positive
660,Dama hisebe thika ache,Positive
661,Nasta jinisa,Negative
662,Alpa dame bhalo ekata cayesa hate pare eti.,Positive
663,Kona kamaple'ina ne'i.,Positive
664,Bajeta hisebe thika ache...,Positive
665,E'i dame e'i seta ta bhala'i legeche amara.,Positive
666,Dama anusare bhala lyapatapa.,Positive
667,"Prodaktagulora koyaliti bhala,",Positive
668,Marketa theke aneka kame peyechi,Positive
669,Prodaktata bhanga,Negative
670,Aneka bhalo lagache,Positive
671,Ke'u bhule'o kinabena na.,Negative
672,2 Ta'i acala.,Negative
673,"Nasta memori karda chila,",Negative
674,Samaya o taka apacaya. ,Negative
675,Apanadera to dekhachi mukhera jabana thika na'i,Negative
676,Daraja ucita esaba syarera birud'dhe padaksepa ne'oya.,Negative
677,... Emana baje abastha kena..???,Negative
678,Bhalo prodakta....,Positive
679,Damera tulanaya bhala chila,Positive
680,Amara kache thika'i mane hacche ta'i 5 stara...,Positive
681,Bha'i kaja kare na,Negative
682,Saba'i nite parena.,Positive
683,Manda naya.,Positive
684,Kama dame bhalo jinisa.,Positive
685,La'ita ti aneka kajera.,Positive
686,Ekadama'i arama ne'i.,Negative
687,khubi baaje aar jghny /  ,Negative
688,aami khushi / ,Positive
689,aasle ei proddaaktt beshikssnn bybhaarer jny upyogii naa / ,Negative
690,besh bhaalo kaaj krche,Positive
691,beshikssnn bybhaar krle haate byaathaa shuru hyy,Negative
692,aami ei proddaaktt er kon smsyaa paaini,Positive
693, ddelibhaari slo / ,Negative
694,pementt niyye bhogaanti hyyeche ,Negative
695,Prodakta era koyaliti bhala,Positive
696,proddaaktt bhaalo peyyechi / ,Positive
697,hedd phoner saaundd koyyaalitti ekdm i bhaalo naa / ,Negative
698,bhaaloi / ,Positive
699,Ba'itite lekhaka maja kare programinke upasthapana karechena.,Positive
700,aamaar ttaakaa ttaa ls hyyeche /  ,Negative
701,prograamiN shekhaar jny bestt,Positive
702,khubi pchnd hyyeche / ,Positive
703,aami ettaa kine khubi htaash hyyechi /  ,Negative
704,Citara.,Negative
705,"arddaar krchi aarekttaa diche eittaa, cittaar / ",Negative
706,daam hisebe bhaalo saarbhis paacchi / ,Positive
707,aar ettaa r daam bibecnaa krle ettaa khubi prshNsit /   ,Positive
708,E'i dame era ceye bhala prodakta pa'oya sambhaba na.,Positive
709,Kinachena to thakachena.,Negative
710,ettaa khub bhaalo /  ,Positive
711,phricaar anuyaayyii koyyaalittir kon mil naai / ,Negative
712,"Pura'i pha'ula,",Negative
713,sbaaike naa kenaar jny blbo / ,Negative
714,daam hisaabe anek bhaalo,Positive
715,"mottaamutti, prthme bhaalo kaaj krse",Positive
716,aar daaraaj hcche dui naambaar / ,Negative
717,khubi baaje / ,Negative
718,gaan shonaar jny mottaamutti bhaalo / ,Positive
719,er mt jghny kichu naai /  ,Negative
720,arddaar krchilaam eittaa kintu paatthaaiche 200ttaakaar aarekttaa  cittiN,Negative
721,"daam hisaabe tthik aache, khaaraap naah / ",Positive
722,taarer koy'aalitti atynt nimn / ,Negative
723,alp daamer mdhye asaadhaarnn ettaa...,Positive
724,tbe daam anusaare khaaraap naa / ,Positive
725,maaikrophon kaaj kre naah,Negative
726,"arddaar dilaam ekttaa, ddelibhaari pelaam aarekttaa",Negative
727,"1 ghnttaar beshi caarj thaake naa,",Negative
728,ekdm baaje abstaa ,Negative
729,koyyaalitti khub baaje,Negative
730,daaraaj aamaar prtyaashaa puurnne puraapuri byrth.,Negative
731,aashaanurup chil naa  /  ,Negative
732,"ekdm phaaltu saaundd,",Negative
733,saaundd kletti khubi khaaraap / ,Negative
734,chbi saathe kon mil nei,Negative
735,khub baaje proddaaktt / ,Negative
736,ektti spikaare saaundd aase naa,Negative
737, saaundd koyyaalitti ktto baaje taa ble bujhaate paarbo naah,Negative
738,nsstt caarjaar py'entt,Negative
739,bass blte kichu naai / ,Negative
740,duniyyaar sbceyye baaje heddphon thaakle eittaa aache / ,Negative
741,daarun heddphon 350 ttaakaa renyjer bhetre / ,Positive
742,daam er tulnaay' asaadhaarnn,Positive
743,sbkichu miliyye jinis ttaa bhaaloi,Positive
744,et baaje saaundd yaa blaar baaire / ,Negative
745,daaraaj theke ilekttrniks er pnny kenaa aatmhtyaar shaamil,Negative
746,arijinaal peyyechi,Positive
747,eirkm bhaaotaabaaji naa krle hyy naa,Negative
748,ultto hyyraanir shikaar hte hyy,Negative
749,yaalensedd saaundd laabhaarder jny bhaal,Positive
750,daamer tulnaayy pnyttaa anek baaje,Negative
751,saaundd koyyaalitti baaje,Negative
752,puraai phaaltu /  ,Negative
753,saaunddo kliyyaar / ,Positive
754,khub km caarj thaake,Negative
755,km daame seraa iyyaarphon / ,Positive
756,shessmesh arijinaalttaai pelaam / ,Positive
757,smuth bej /  ,Positive
758,dhnybaad smaartt gejett,Positive
759,ddijaainttaao jos / ,Positive
760,ekkthaayy proddaaktte aami mugdh / ,Positive
761,jenuin peyyechi / ,Positive
762,proddaaktt bhaalo aar arijinaal!,Positive
763,bej ekttu beshii tbe saaundd bhaalo!,Positive
764,aashaanuruup prddaaktt paaini,Negative
765,proddaaktt bhaalo ,Positive
766,smaartt gyaajettke dhnybaad / ,Positive
767,jenuin proddaaktt ddelibhaari deoyyaar jny selaarke dhnybaad,Positive
768,besh bhaalo baaje /  athenttik chil / ,Positive
769, 100% athenttik prddaaktt,Positive
770,saaundd koyyaalitti anek bhaalo /  ,Positive
771,proddaaktt aaamaar anek pchnd hyyeche / ,Positive
772, dhnybaad gejett hom / ,Positive
773,arijinaal peyyechi! ,Positive
774,maarkett praaij hisaabe khubi km ,Positive
775,khub bhaal sb miliyye,Positive
776,saaunddkoyyaalitti kaaner jny aaraamdaayyk nyy,Negative
777,prddaaktter koyyaalitti yemn hbaar kthaa etti taar dhaare kaacheo naai / ,Negative
778,ekmaaser mdhyei nsstt hyye geche,Negative
779,2maas dhre caalaacchi ekhn prynt anek bhaal saarbhis /  ,Positive
780,eto eto eto josh saaundd koyyaalitti aami kkhno paaini / ,Positive
781,emn pNcaa jinish baajaare kme aase,Negative
782,aami styi abaak oto josh koyyaalitti kemne hyy / ,Positive
783,bes er jny bestt hbe,Positive
784,khubi baaje saaundd koy'aalitti ,Negative
785," aapneraa settaa naa diyye any kichu diben,",Negative
786,saaundd koyyaalitti besh baaje / ,Negative
787, ettaa mene neoyyaa yaayy naa / ,Negative
788,phaaul prddaaktt,Negative
789,ken bhaai Defected jinis diyye hyyraani kren?,Negative
790, baattpaari bndh kren / ,Negative
791,chbite ekrkm baastbtaa bhinn,Negative
792,ekdm phaaltu prdaaktt,Negative
793,erkm jaanle aami eittaa jibneo kintaam naa / ,Negative
794,yemn dekhaa hyyeche temn hyy naai /  ,Negative
795,bhaalonaa ekdm i! ,Negative
796,aamaar ekttaa kmplein chil ddelibhaari niyye,Negative
797,daamttaa o tthik mne hyyeche / ,Positive
798,kaaprr bhaal naa / ,Negative
799,ettaa nrmaal koyyaalitti,Negative
800,aapnaaraa ddelibhaari dite ekttu beshiii derii kren / ,Negative
801,sbmiliyye pchnder koyyaalitti chil /  ,Negative
802, aamaar kon kmplein nei,Positive
803,aami htaash hyyechi / ,Positive
804,khubi bhaal proddaaktt / ,Positive
805, aami sntusstt  / ,Positive
806, motteo kyaattaalg er mto chilnaa / ,Negative
807,anek bhaal maaner kaaprr mne hyyeche / ,Positive
808,"ei proddaaktt er koyyaalitti bhaal, ",Positive
809,"chbir saathe baastbe kon mil naai, ",Negative
810,jaamaar orrnaa ebN haataar mil nei / ,Negative
811,ddijaain chbir mti / ,Positive
812,ki arddaar krlaam aar ki pelaam / ,Negative
813,er cheyye nimnmaaner jaamaa aar hyy naa,Negative
814,proddaaktttti cherraa chil / ,Negative
815,ddijittaal prtaarnnaa suru krl daaraaj / ,Negative
816,daam anuyaayyii kaaprrer koyyaalittittaa bhaaloi,Positive
817,aami ei dhrner proddaaktt styi aashaa krini,Negative
818, proddaaktt er koyyaalitti bhaal,Positive
819,khub khub khub nimnmaaner jinis,Negative
820,abshy ei daame khub bhaal aashaa kraa yaayy naa,Positive
821,maan aarekttu bhaal aashaa krechilaam / ,Negative
822,chbir mt naa,Negative
823,"aami khushi,",Positive
824,aapnraa yaa ddelibhaari dicchen motteo kaangkhit nyy / ,Negative
825,anlaaine kenaakettaa bishbaasyogytaa haaraaben / ,Negative
826,rek jnke u[?]saahit kraar pribrte nir[?]saahit krte baadhy hcchi,Negative
827,ek kthaayy et jghnytm kaaprr aage kkhno dekhini / ,Negative
828,phri dileo ei jaatiiyy kaaprr aami nitaam naa / ,Negative
829,ttaakaa nsstt,Negative
830,bhaai et baaje proddaaktt aar keu niyyen naa!,Negative
831,kaaprrer koyyaalitti khubi baaje4/,Negative
832,chbite printt yemn dekhaano hyyeche taar saathe aakaash paataal tphaa[?] / ,Negative
833,daaraajer kaach theke emnttaa aasaa krini / ,Negative
834,keu edhrner baaje koy'aalittir kaapdd' pdd'te paarbe naa / ,Negative
835,shudhu chbitei phittphaatt,Negative
836,ek prkaar prtaarnnaa ,Negative
837,et baaje hbe sbpneo bhaabini / ,Negative
838,ekdm baaje keu kinben naa,Negative
839,ekebaare baaje /  ,Negative
840,"baaje maaner, ",Negative
841,paashaapaashi bhaalo saarbhis peyyechi / ,Positive
842,"phaaltu kaaprr, ",Negative
843,aamaar kon kmplein nei ,Positive
844,bhaalo proddaaktt peyyechi ,Positive
845,koyyaalitti bhaalo naa,Negative
846,ati lobhii selaarder jny desher anlaain shpiN saaittgulo daarraate paarche naa / ,Negative
847,daaraaj ke aaro anek beshi njrdaari krte hbe koyyaalitti knttrole / ,Negative
848,"ki dekhaailen,aar ki paailaam / ",Negative
849,daaraaj kibhaabe maanusske tthkaayy taar prmaann pelaam / ,Negative
850,kaaprr bN o printtiN konttaai bhaalo naa / ,Negative
851,daaraaj ke baai baai anlaain e aapnaader proddaaktte kine shikssaa hyyeche aar naa / ,Negative
852,pnnyer maan nimnmaaner,Negative
853,baaje ekttaa ddres /  ,Negative
854,"aami ye proddaaktt ttaa peyyechi settaa kyaattaalger saathe mil chilnaa, ",Negative
855,"ddijaain aar orrnaa ttaa bhaalo,",Positive
856,jaasstt dunmbrii4/,Negative
857,jaamaa aar paayyjaamaar kaaprrttaa khubi nimnmaaner paatlaa kaaprr,Negative
858,konn mil naai4/ ,Negative
859,aami anek paarthky dekhte peyyechi / ,Negative
860,chbir saathe ekttu mil hleo hto /  ,Negative
861,rngger mil naai /  ddijaainer mil naai / ,Negative
862, ddijaain e kichu smsyaa chil /  ,Negative
863,ek rkmer chbi diyye any rkmer possaak dilen4/ ,Negative
864,prthm baar anlaain e pny niyye tthklaam / ,Negative
865,ettaar kichu smsyaa pyyechi /  ,Negative
866,ekdm phaaltu ddres / rittaarn kre dibo / ,Negative
867,sei hisebe jos ekttaa byaag.,Positive
868,daam ttaa ekttu beshi,Negative
869,rN chbite yemn aache temni pelaam / ,Positive
870, aami asukhii ni,Positive
871,jins pyaantt kette baanaano.tbe anek sundr / ,Positive
872,dekhe nite paari naa ble emn tthkaano uci[?] naa.,Negative
873,tthik yemn ceyyechilaam /  ,Positive
874,pyaakett kholaar pr dekhi ekdm nsstt / ,Negative
875,alp daame cm[?]kaar skel / ,Positive
876,paarphrmense sntusstt / ,Positive
877,khub shkh kre kinechilaam /  baaki oyyett skel theke tulnaamulk km daam / ,Positive
878,"ekbaar ekrkm ojn dekhaayy, khubi khaaraap, ekbaar 65, ykhn yaa icchaa",Negative
879,"nstt, kaaj kre naa / ",Negative
880,baattpaarir ekttaa siimaa thaakaa ucit...,Negative
881, jinisttaa khubi kaajer / ,Positive
882,ekttaa grjiyyaas luk aache / ,Positive
883,naatishiitossnn kaaNthaa /  anek aaraamdaay'k mne hcche / ,Positive
884, jinisttaa khubi kaajer / ,Positive
885,puraai phaaltu ekttaa prddaaktt keu kinben naa,Negative
886,chbir mt proddaaktt paaini,Negative
887,oyyaarddrobttaa khubi chott ebN plaasttiker koyyaalittio mottei bhaalo naa  / ,Negative
888,koyyaalitti aar saaij anuyaayyii daam anek beshi  / ,Negative
889, bhaaNgaa ddhaaknaa diyye diche  / ,Negative
890,anek bhaal chil,Positive
891,anek bhaal legeche ,Positive
892,bhaal chaarre bhaal pnny aashaa krchilaam  / ,Negative
893,anek beshi bhaal legeche aami taai khub sntusstt / ,Positive
894,ddelibhaari drut hy'eche / ,Positive
895,proddaaktt tti khubi sntossjnk / ,Positive
896,proddaaktto bhaal!,Positive
897,byaabhaar krchi aamaar anek bhaal laagche  /  ,Positive
898,daam tulnaa krle blaa yaay' maarkett theke km daam /  ,Positive
899,pyaakett bhaalo absthaay' chil / ,Positive
900,aar eph eler mto koyyaalitti bihiin,Negative
901,ddhaaknaar ek aNsh bhaangaa chilo / ,Negative
902,anyaany bryaandd er tulnaayy daame km /  ,Positive
903,koyyaalitti aar praaij niHsndehe any brendder tulnaayy kyyekgun bhaalo,Positive
904,proddaaktt aar ddijaain nitaanti km . ,Negative
905,baaje pny,Negative
906,prddaaktt bhaal chil /  / ,Negative
907,tbe ddijaainttaa khub beshi bhaal laageni /  / ,Negative
908,ddelibhaarite kon smsyaa hyyni /  / ,Positive
909, smbhbt jinjiraar 2 naambaar jinis diyye botler bhitr diyye deyy / ,Negative
910,eittaa aamaar pchnder ektti pny /  ,Positive
911,Edera birud'dhe byabastha nite habe!!,Negative
912,bhndd kmpaani /  ,Negative
913, ghraan o bhaalo / ,Positive
914,ythaasmyye ddelibhaari peyyechi / ,Positive
915,"ekebaare nkl maal,",Negative
916, ekebaare phaaltu jinis / ,Negative
917,taader sb pnyi dui naambaar /  ,Negative
918,aami settisphaaidd :) / ,Positive
919,aamaar kaache bhaalo legeche /  ,Positive
920, arijinaal /  ,Positive
921,khubi bhaalo proddaaktt / ,Positive
922,"nkl bddi spre mne hcche,",Negative
923,"bhaal ,inttek pyaakiN chil",Positive
924,Sugandhi era mana khuba bhalo.,Positive
925,Besa bhalo'i.,Positive
926,keu kine prtaarit hben naa!,Negative
927,aapnaaraao nisndehe kinte paaren,Positive
928,ettaa ckbaajaarer tairii / ,Negative
929,kine ttaakaa nsstt kriyyen naa / ,Negative
930,Koyaliti aneka bhalo prodakta arijinala chila,Positive
931, sentti anek bhaalo,Positive
932,prddaaktt koyyaalitti nkl /  ,Negative
933, aatrgulo arijinaal /  ,Positive
934,Ghrana dirgha samaya thake.,Positive
935,Spray kraa yaayy naa / ,Negative
936,proddaak er gungt maan bhaalo,Positive
937,anek bhaal ektti aatr /  ,Positive
938,ddelibhaari besh drut peyyechi / ,Positive
939,Apanara theke sedina niyechi.,Positive
940,pjittibh ribhiu,Positive
941,styii kaaj kre,Positive
942,"Phrayagrayansa/ smela bhala,",Positive
943,"Prodakta bhalo,,,",Positive
944,Bhalo jinisa,Positive
945,E'i pra'ije yathesta bhala,Positive
946,Khuba sakta. Smuta na,Negative
947,Ta'o prodakta kharapa na..,Positive
948,khub shkt /  smut naa,Negative
949,Phalatu kaja! Batapari sarbhisa.,Negative
950,Khuba'i bhalo jinisa.,Positive
951,Etira ha'oyara gati paryapta na.,Negative
952,Khuba kajera jinisa,Positive
953,"Bhalo phona, kona samasya ekhano haya na'i.",Positive
954,Eta thika mata kaja kare na.,Negative
955,E'i kulara byabahara karara theke phyana byabahara kara'o bhalo.,Negative
956,Katara du'i dina para nasta haye geche.,Negative
957,Sadharana phyanera theke'o kharapa sarbhisa deya,Negative
958,Ta'i niscinte byabahara karate pari,Positive
959,Aphara e diyechilama dama anuyayi bhala.,Positive
960,Prodakta ta kenara para theke ekhano bhala sarbhisa pacchi,Positive
961,Koyaliti o amara kache temana bhala mane hayani,Negative
962,"Amake bhula prodakta deya hayeche,,",Negative
963,Eta seta karate besa jhamela mane hayechila.,Negative
964,"Prodakta ta byabahara kara khuba sahaja, kenara para theke eta byabahara karachi. Bhala sarbhisa pacchi.",Positive
965,Su'ica ta ekatu lo koyaliti.,Negative
966,Aneka besi bhala legeche ami ta'i khuba santusta.,Positive
967,E'itara sarbhisa bhala dicche,Positive
968,Byabahara karachi amara aneka bhala lagache.,Positive
969,Kaja karache motamuti.,Positive
970,Rannaya samaya kama lage.,Positive
971,Besa bhalo legeche,Positive
972,Marketa theke dama kama.,Positive
973,Chota ebam sundara.,Positive
974,Koyaliti bhala na.,Negative
975,Tabe dama anuyayi aneka bhalo.,Positive
976,proddaaktt phinishiN bhaalo naah / ,Positive
977,Khuba'i sundara pradakta.,Positive
978,Lasta takara apacaya,Negative
979,Sela'i bhalo pare.,Positive
980,Khuba baje abastha.,Negative
981,Eta chota hyandi ara sundara sela'i haya.,Positive
982,Prodakta e jam phela chila.,Positive
983,aaittem khub khaaraap absthaay' chil /  ,Negative
984,Emana baje prodakta ami amara la'ipha e kakhana o dekhi na'i.,Negative
985,"Koyaliti baje,",Negative
986,Totala dyameja prodakta diye dibe.,Negative
987,Khuba kame'i bhala pan'ya pelama.,Positive
988,bryaandd anuyaayyii anek bhaal ettaa /  ,Positive
989,Bhala legeche.,Positive
990,Druta delibhari pelama.,Positive
991,khubi bhaal chil eksperiyyens,Positive
992,Saba miliye bhala,Positive
993,Bhala chila jinisa ta,Positive
994,Panyera dama dokana hate kama.,Positive
995,Khuba'i baje prodakta.,Negative
996,Ami sirajera upara hatasa.,Negative
997,Apanara prodakta koyaliti ceka kare sela de'oya ucita.,Negative
998,4 Pyaketa ardara kare bipade parechi.,Negative
999,Bhalo'i ebam dame'o kama chila.,Positive
1000,E'i da'ipara era sosana ksamata aneka kama.,Negative
1001,Bacca aramabodha kare na.,Negative
1002,Kona parsba pratikriya ne'i.,Positive
1003,Khuba'i bhala ebam sasthyakara bebi prodakta.,Positive
1004,proddaaktt bhaalo chil /  ,Positive
1005,Hagisera theke bhalo prodakta hate parena.,Positive
1006,"Bebira jan'ya prodakta ta khuba'i bhala,",Positive
1007,"Aphara bhala chila, pradakta o bhalo",Positive
1008,Dekhate sundara na.,Negative
1009,Eta eka dharanera pratarana ,Negative
1010,Ami bhokta adhikara a'ine mamala karabo ,Negative
1011,yemn aashaa krchilaam temn naa ,Negative
1012,Khuba'i bhala chila.,Positive
1013,daam beshi,Negative
1014,Ami ardara karechi ekati kintu o'i prodakta asache duti.,Negative
1015,An'ya prodakta era badale eka'i kalara duti asache.,Negative
1016,"Amara e'i prodakta ta khuba pachanda hayeche,",Positive
1017,E'i prodakta era koyaliti niye kona kamaple'ina ne'i.,Positive
1018,Ami satyi'i khuba'i hyapi e'i prodakta ta byabahara karate pere.,Positive
1019,Phalatu ekata jinisera pichane taka kharaca karalama.,Negative
1020,Madela o thika ache,Positive
1021,Ami eka mase bhalo phala peyechi.,Positive
1022,bestt bhyaalu phr maani proddaaktt / ,Positive
1023,Amara mate khuba bhala ekata prodakta.,Positive
1024,"Saba taka jale gela,",Negative
1025,Phalaphala ta asanurupa naya,Negative
1026,Ami khusi.,Positive
1027,Jinisata bhalo lagalo,Positive
1028,Khuba'i bhala,Positive
1029,Daraz amara sathe pratarana kareche.,Negative
1030,"Kalara ta thika ache,",Positive
1031,ei daame er ceyye bhaalo aashaa kraa tthik naa /  ,Positive
1032,Delibhari dite 5 dinera besi samaya legeche bale ekatu kharapa legeche.,Negative
1033,1 Dina byabahara karechi tara para nasta haye geche.,Negative
1034,An'ya madela delibhari de'oya hayeche eta kamya naya.,Negative
1035,Yeta patha'ichena ota'o motamoti bhala lagache,Positive
1036,Motamuti manera prodakta,Positive
1037,Kama takaya khuba bhalo trimara.,Positive
1038,Taka nasta.,Negative
1039,proddaaktt tthik aache,Positive
1040,Apatata bhala'i yacche.,Positive
1041,Ekadama phalatu ekata jinisa.,Negative
1042,Prathamikabhabe ami syatisapha'ida,Positive
1043,Prodakta bhalo tabe byatari ta khumje pa'oya aneka kastasadhya bisaya.,Positive
1044,Trimara era pyaketa ta ekadama inteka pa'i na'i.,Negative
1045,daarun /  /  / ,Positive
1046,praais anuyaayyii besstt /  ,Positive
1047,E'i dame daruna jinisa ,Positive
1048,Prodakta emani bhalo ache. Eta amara prathama ardara chila,Positive
1049,Bhalo lage e'i takaya nite parena,Positive
1050,Kama takaya besta ekata trimara.,Positive
1051,Bhalo panya damera tulanaya.,Positive
1052,Bhala'i legeche pan'ya kinate pere.,Positive
1053,Kama bajete besa bhalo jinisa,Positive
1054,daam anuyaay'ii anek bhaalo,Positive
1055,Bhalo'i lagatese byabahara kare,Positive
1056,Kama dame bhalo kichu.,Positive
1057,Khuba hepi prodakta peye.,Positive
1058,Bhalo'i kaja kareche,Positive
1059,Pra'isa renja hisebe kare eta besta cayesa.,Positive
1060,Dama hisabe santosajanaka.,Positive
1061,Thyankasa,Positive
1062,"Bhala, kinate parena.",Positive
1063,ei daame er theke aar ki aasaa kraa yaayy /  ,Positive
1064,Ekadama i primiyama.,Positive
1065,Kama dama hale'o kaja calanora mata,Positive
1066,Khuba'i bhala prodakta.,Positive
1067,Darajera delibhari saba samaya asadharana,Positive
1068,I dame era ceye bhalo kichu haya na.,Positive
1069,Khuba'i bhala legeche,Positive
1070,Khuba'i  bhalo parasonala i'ujera jan'ya.,Positive
1071,Bhalo lage dekhi age ki haya,Positive
1072,Khuba bhala ekata jinisa.,Positive
1073,Aphisiyala sapa theke eta asa kara yaya na.,Negative
1074,Prodakta bhalo.,Positive
1075,Carja aneka kama thake,Negative
1076, byaattaarii bhaalo naa!,Negative
1077,Carja de'oyara kebala nasta,Negative
1078,E'i damera madhye besta,Positive
1079,Pan'ya theke suru kare delibhari sistema saha sabakichu'i bhalo,Positive
1080,Jibane kakhano daraja theke kichu kinabo na.,Negative
1081,Bhala trimara,Positive
1082,"Saba kichu bhalo,",Positive
1083,Delibhari sistema aneka santusta janaka,Positive
1084,Bhala na temana,Negative
1085,mottaamutti cle /  ,Positive
1086,Druta delibhari.,Positive
1087,"Aneka bhalo byabahara kare bhalo lagalo,",Positive
1088,"Se'ima kala, kama pra'isa.",Positive
1089,E'i kama takaya bhalo prodakta.,Positive
1090,Khuba'i bhalo chilo ,Positive
1091,Byabahara kare bhala legeche.,Positive
1092,Prodaktera mana bhalo.,Positive
1093,"Bikase kyasabyaka pa'oyara katha, deyani.",Negative
1094,Camatkara ekati prodakta,Positive
1095,Prodaktati bhalo chila.,Positive
1096,"Prataraka, thakabaja trimarera baksa moba'ilera kabhara diye 380 taka niye gela.",Negative
1097,"Batapara daraja,",Negative
1098,Yara kinate tadera parate haya bhogantite.,Negative
1099,Dame kama,Positive
1100,"Mithyabadira dala,",Negative
1101,Bhalo'i chila.,Positive
1102,Carja aneka besi thake,Positive
1103,"Prodakta bhalo,",Positive
1104,Druta ebam sahaje'i kaja karate pari.,Positive
1105,bhaal pnny / ,Positive
1106,Koyaliti bhala na.,Negative
1107,Aramadayaka sebha era jan'ya khuba'i bhala.,Positive
1108,daam anuyaay'ii bhaalo  / ,Positive
1109,100% Santusta.,Positive
1110,Calara mato.,Positive
1111, bettaari byaak aap ekttu khaaraap / ,Negative
1112,Dama o sasrayi.,Positive
1113,"Bhalo, kono samasya deya na'i.",Positive
1114,E'i paryanta bhala calache,Positive
1115,6 Masa dhare byabahara karachi ekhano thika sarbhisa dicche.,Positive
1116,Alpa damera madhye besta.,Positive
1117,Aneka bhala legeche byabahara kare.,Positive
1118,Nasta haye geche,Negative
1119,Delibhari druta chila.,Positive
1120,Khuba bhalo ekati mesina.,Positive
1121,Sarbhisa bhalo'i,Positive
1122,Dama sathika chila,Positive
