,comments,sentiment
534,"ফালতু শার্ট বংোবাজার কোয়ালিটি , ",Negative
535,পিকের সাথে কালারের অনেক ডিফারেন্স। ,Negative
536, আমার কাছে খুবই ভালো লাগছে।,Negative
537,কাপড় কোয়ালিটি একদম বাজে। ,Negative
538,"শার্টটা দারুণ,তবে সাইজে মিলে নাই",Positive
539,এই শার্ট টি খুব ভালো ,Positive
540,খুবই জঘন্য মানের। ,Negative
541, মানুষ অনলাইনের বিশ্বাস করত পারে না।,Negative
542,ফিটিং ও ভালো,Positive
543,ভালো কোয়ালিটির ছিলো,Positive
544,শার্টটার কাপড়টা খুব ভালো। ,Positive
545,প্রোডাক্ট অনুযায়ী দাম বেশি ছিল।,Negative
546,ফেব্রিক খুব ভারি তাই ভাল লাগেনি।,Negative
547,ছবির মত প্রোডাক্টটি পাইনি। ,Negative
548,নিশ্চিন্তে নিতে পারেন পোষাকটি,Positive
549,আমি যেমনটা চেয়েছিলাম প্রোডাক্টটা তেমন না,Negative
550,"সাইজ পারফেক্ট, ফিটিং ও ঠিক আছে।",Positive
551,পারফেক্ট। ,Positive
552,কাপড় টা ভালো ছিলো। ,Positive
553,খুব ভাল দামে ভাল জিনিস,Positive
554,প্রোডাক্টটি দাম অনুযায়ী ঠিক আছে। ,Positive
555,।ফিটিং ও ভাল ছোট হয়নি ।,Positive
556,গেঞ্জি টির মান খুব বেশি একটা ভালো না ,Negative
557,"প্রথমবার কিনেছি দারাজ থেকে, অনেক ভাল লেগেছে ",Positive
558,দাম হিসেবে খুবই ভালো,Positive
559, দাম অনুযায়ী ভালো।,Positive
560,পন্যে দেয়া ছিল ছাইয়ান সবুজ রঙের এই জন্যে অসন্তুষ্ট আমি। 😠😠,Negative
561, গায়ে দিয়ে বেশ আরাম লাগে।,Positive
562,"ফালতু গেঞ্জি,কোয়ালিটি ভালো না আর সবচেয়ে বড় কথা অন্য কালার দিসে👎👎👎😈😈",Negative
563,কাপড়ের কোয়ালিটি খারাপ না।,Positive
564,ভালো প্রডাক্ট,Positive
565, দাম অনুযায়ী খারাপ না,Positive
566,খুবই নিম্নমানের কাপড়,Negative
567,ভালই ছিল ।,Positive
568,এক কথায় মিথ্যাচার বলা যায়..!!,Negative
569,অর্ডারের ডিটেইলসের সাথে মিল নেই..!! ,Negative
570,দাম অনুযায়ী ভাল পন্য।,Positive
571,দাম অনুযায়ী অনেক ভালো।,Positive
572,"কোয়ালিটি ভালো না, ",Negative
573,খুব ভালো লাগলো। ,Positive
574,এই দামের মধ্যে ভাল।,Positive
575, কোয়ালিটিও খুব বাজে,Negative
576,"বাস্তবে কাপড় টা, ছবির মত উজ্জল না!",Negative
577,দাম তুলনায় ভাল,Positive
578, ভুয়া একটা প্রডাক্ট..!!,Negative
579,এই দামের মধ্যে ভালই হইছ। ,Positive
580,"অর্ডার করা প্রডাক্টের সাথে ডেলিভারি প্রডাক্টের কোন মিল নাই,",Negative
581,প্যান্ট ছেড়া পাইছি,Negative
582,চাইছিলাম ৩৪ পেয়েছি ৩০ 😞 বাট কেয়ালিটি ভালো,Positive
583,খুব খারাপ,Negative
584,কাস্টমারের বিরক্তি কারন হলেন।,Negative
585,মনে হচ্ছে যেন কারও ব্যবহৃত পুরাতন কাপড়।,Negative
586,দামের তুলনায় প্রোডাক্টের গুনগত মান যথেষ্ট ভালো,Positive
587,পকেট আলাদা বাজে কাপড় দিয়ে লাগানো। ,Negative
588,একদম বাজে অবস্থা কাপড়ের...,Negative
589,ভালো কোয়ালিটি। ,Positive
590,কাপড়টাও হতাশায় ফেলে দেয়,Negative
591,আমি যে পন্য অর্ডার করেছিলাম সেই অনুযায়ী পন্যটা পাই নাই।,Negative
592,ফটোতে প্যান্টের কালারের সাথে মিল পাই নি....,Negative
593,ছবির সাথে কোন মিল নাই,Negative
594,কোয়ালিটি অনেক খারাপ,Negative
595,আমার কাছে বেশ ভাল লেগেছে মান অনুযায়ী,Positive
596,নিম্ন মানের প্রোডাক্ট দিছে,Negative
597, আমার পন্যটি ফেরত দিব,Negative
598,ভুয়া সব প্রোডাক্ট,Negative
599,"খুবই নিম্নমানের একটা কালো কালারের জ্যাকেট পাঠিয়েছে, যা হতাশাজনক।",Negative
600,ব্যবহার করে আরাম পেয়েছি।,Positive
601,দারুন.! কাপড় ও বেস্,Positive
602,নো প্রবলেম..,Positive
603," প্রোডাক্টও সুন্দর, স্টাইলিশ।",Positive
604,ব্যাগ টা বেশি ছোট। পার্সোনালি আমার ভাল লাগেনি।,Negative
605,ধোকা খাইলাম,Negative
606,প্রোডাক্ট ফেইক,Negative
607,প্রোডাক্ট হলো রাস্তার প্রোডাক্ট এর মতো,Negative
608,অস্থির ব্যাগ।।,Positive
609,সব মিলিয়ে ভাল,Positive
610,ভাল কিন্তু দাম বেশী।,Positive
611,খারাপ না ভালই লাগল।,Positive
612,দেখতে ঠিক ছবির মতই। কাপড়ের মানও ভালো।,Positive
613,ছবির সাথে প্রোডাক্টের ১০০% মিল আছে।,Positive
614," চেইন এর অবস্থা ভালো না, ",Negative
615,মোটামুটি ভালই ডিসকাউন্ট প্রাইজ হিসাবে ঠিক আছে।,Positive
616,অরিজিনাল পন্য পেয়েছি। ,Positive
617,এপেক্স কোম্পানির কাছে এরকম আশা করিনি। ,Negative
618, ভাল প্রোডাক্ট😊। ,Positive
619,এটা কোন ধরনের চিটারি,Negative
620,ব্যাপারটা খুবই লজ্জাজনক।,Negative
621,মাইক্রোফোন টা নস্ট দিছেন..,Negative
622,মূল্যের সাথে সার্ভিসের সামাঞ্জস্য আছে।,Positive
623, প্রাইজ দুটির সমন্ময় দারুন তাই দারাজ জনপ্রিয় অন লাইনে শীর্ষে মার্কেট স্থান দখল করে আছে!,Positive
624,এই শাড়িটা আমি কিনেছি খুব ভাল,Positive
625,দারাজ কোয়ালিটি ,Positive
626,"একটা পন্য কিনবো বলে ভাবছিলাম
এত অভিযোগ!!! ",Negative
627,"প্রডাক্টটির অবস্থাও ভালো ছিল না,",Negative
628, মনে হচ্ছে পুরো টাকাটাই ধরা খেলাম।,Negative
629, নিম্নমানের প্রোডাক্ট।,Negative
630,সবচেয়ে সেরা বাজে পণ্যের মধ্যে একটি,Positive
631,এটি খুব সুন্দর ,Positive
632,এখন দেখি পুরাই ধরা,Negative
633,ভালো প্রোডাক্ট। ,Positive
634,এটা ভালোই।,Positive
635, আমি সন্তুষ্ট,Positive
636,খুবই ভাল প্রোডাক্ট 😲,Positive
637,প্রোডাক্টা সামান্য ভাঙা ছিলো,Negative
638,মোটামুটি ভালোই ,Positive
639, কোন কমপ্লেইন নেই।,Positive
640,বাজারের চেয়েও কম দামে পেয়েছি,Positive
641,প্রোডাক্ট এর কোয়ালিটি যথেষ্ট ভাল,Positive
642,খুবই ভাল প্রোডাক্ট।,Positive
643, কোন সমস্যা ছাড়া ব্যাবহার করতেছি।,Positive
644,জিনিস টা ভাল,Positive
645,এই যুগের জন্য একদম মডার্ন পারফেক্ট জিনিস।,Positive
646,প্রোডাক্ট টা অনেক ভাল।,Positive
647,কোয়ালিটি নিয়ে কোন অভিযোগ নেই,Positive
648, পরে তা ফেরত দিয়ে দিতে বাধ্য হয়েছি। ,Negative
649,ধন্যবাদ দারাজ,Positive
650,এটা খুবই ভাল জিনিস।,Positive
651, একদম অরিজিনাল। ,Positive
652,এটা এত নিন্মমানের প্রোডাক্ট যে বলে বোঝানো যাবেনা।,Negative
653,খুব ভাল প্রডাক্ট।,Positive
654,এই টাকাই ভালই আছে। ,Positive
655,খারাপ না। ,Positive
656,আমার অনেক ভালো লাগে এটা দিয়ে মুভি দেখতে।,Positive
657,"ভালোই প্রডাক্টি, ",Positive
658,আমি এটা কিনে লাভ করেছি। ,Positive
659,এটা দিয়ে মুভি দেখার অনুভূতিটাই আলাদা। ,Positive
660,দাম হিসেবে ঠিক আছে৷,Positive
661,নস্ট জিনিস,Negative
662,অল্পদামে ভালো একটা চয়েজ হতে পারে এটি।,Positive
663, কোন কমপ্লেইন নেই।,Positive
664,বাজেট হিসেবে ঠিক আছে।।।,Positive
665,এই দামে এই সেট টা ভালই লেগেছে আমার ।,Positive
666,দাম অনুসারে ভাল ল্যাপটপ।,Positive
667,"প্রোডাক্টগুলোর কোয়ালিটি ভাল,",Positive
668,মার্কেট থেকে অনেক কমে পেয়েছি,Positive
669,প্রোডাক্টটা ভাঙ্গা,Negative
670,অনেক ভালো লাগছে,Positive
671,কেউ ভুলেও কিনবেন না।,Negative
672, ২ টাই অচল.,Negative
673,"নষ্ট মেমোরি কার্ড ছিল, ",Negative
674,সময় ও টাকা অপচয় । 😠,Negative
675,আপনাদের তো দেখছি মুখের জবান ঠিক নাই,Negative
676,দারাজের উচিত এইসব সেলারের বিরুদ্ধে পদক্ষেপ নেওয়া।,Negative
677,😡😡... এমন বাজে অবস্থা কেনো..??? ,Negative
678,ভালো প্রোডাক্ট....,Positive
679,দামের তুলনায় ভাল ছিল,Positive
680,আমার কাছে ঠিকই মনে হচ্ছে তাই ৫ স্টার…,Positive
681,ভাই কাজ করে না ,Negative
682,সবাই নিতে পারেন।,Positive
683,মন্দ নয়।,Positive
684,কম দামে ভালো জিনিস। ,Positive
685,লাইট টি অনেক কাজের।,Positive
686,একদমই আরাম নেই।,Negative
687,খুবই বাজে আর জঘন্য। ,Negative
688,আমি খুশি।,Positive
689,আসলে এই প্রোডাক্ট বেশিক্ষণ ব্যবহারের জন্য উপযোগী না।,Negative
690,বেশ ভালো কাজ করছে,Positive
691,বেশিক্ষণ ব্যবহার করলে হাতে ব্যাথা শুরু হয়,Negative
692,আমি এই প্রোডাক্ট এর কোন সমস্যা পাইনি,Positive
693, ডেলিভারি স্লো।,Negative
694,পেমেন্ট নিয়ে ভোগান্তি হয়েছে ,Negative
695,প্রোডাক্ট এর কোয়ালিটি ভাল,Positive
696,প্রোডাক্ট ভালো পেয়েছি।,Positive
697,হেড ফোনের সাউন্ড কোয়ালিটি একদম ই ভালো না।,Negative
698,ভালোই।,Positive
699,বইটিতে লেখক মজা করে প্রোগ্রামিংকে উপস্থাপন করেছেন।,Positive
700,আমার টাকা টা লস হয়েছে। ,Negative
701,প্রোগ্রামিং শেখার জন্য বেস্ট,Positive
702,খুবই পছন্দ হয়েছে।,Positive
703,আমি এটা কিনে খুবই হতাশ হয়েছি। ,Negative
704, চিটার।,Negative
705,"অর্ডার করছি আরেকটা দিছে এইটা, চিটার।",Negative
706,দাম হিসেবে ভালো সার্ভিস পাচ্ছি।,Positive
707,আর এটা র দাম বিবেচনা করলে এটা খুবই প্রশংসিত।  ,Positive
708,এই দামে এরচেয়ে ভাল প্রোডাক্ট পাওয়া সম্ভব না। ,Positive
709,কিনছেন তো ঠকছেন।,Negative
710,এটা খুব ভালো। ,Positive
711,ফ্রিচার অনুযায়ী কোয়ালিটির কোন মিল নাই।,Negative
712,"পুরাই ফাউল, ",Negative
713,সবাইকে না কেনার জন্য বলবো।,Negative
714,দাম হিসাবে অনেক ভালো,Positive
715,"মোটামুটি, প্রথমে ভালো কাজ করসে",Positive
716,আর দারাজ হচ্ছে দুই নাম্বার।,Negative
717,খুবই বাজে।,Negative
718,গান শোনার জন্য মোটামুটি ভালো।,Positive
719,এর মত জঘন্য কিছু নাই। ,Negative
720,অর্ডার করছিলাম এইটা কিন্তু পাঠাইছে ২০০টাকার আরেকটা  চিটিং,Negative
721,"দাম হিসাবে ঠিক আছে, খারাপ নাহ্।",Positive
722,তারের কোয়ালিটি অত্যন্ত নিম্ন।,Negative
723,অল্প দামের মধ্যে অসাধারণ এটা...,Positive
724,তবে দাম অনুসারে খারাপ না।,Positive
725,মাইক্রোফোন কাজ করে নাহ,Negative
726,"অর্ডার দিলাম একটা, ডেলিভারি পেলাম আরেকটা",Negative
727,"১ ঘন্টার বেশি চার্জ থাকে না,",Negative
728,একদম বাজে অবস্তা ,Negative
729,কোয়ালিটি খুব বাজে,Negative
730,দারাজ আমার প্রত্যাশা পূরণে পুরাপুরি ব্যর্থ.,Negative
731,আশানুরুপ ছিল না । 🙂,Negative
732,"একদম ফালতু সাউন্ড,",Negative
733,সাউন্ড কলেটি খুবই খারাপ।,Negative
734,ছবি সাথে কোন মিল নেই,Negative
735,খুব বাজে প্রোডাক্ট।,Negative
736,একটি স্পিকারে সাউন্ড আসে না,Negative
737, সাউন্ড কোয়ালিটি কত্তো বাজে তা বলে বুঝাতে পারবো নাহ,Negative
738,নষ্ট চার্জার পয়েন্ট,Negative
739,bass বলতে কিছু নাই।,Negative
740,দুনিয়ার সবচেয়ে বাজে হেডফোন থাকলে এইটা আছে।,Negative
741,দারুন হেডফোন ৩৫০ টাকা রেঞ্জের ভেতরে।,Positive
742,দাম এর তুলনায় অসাধারণ,Positive
743,সবকিছু মিলিয়ে জিনিস টা ভালোই,Positive
744,এত বাজে সাউন্ড যা বলার বাইরে।,Negative
745,দারাজ থেকে ইলেকট্রনিক্স এর পণ্য কেনা আত্মহত্যার শামিল,Negative
746,অরিজিনাল পেয়েছি,Positive
747,এইরকম ভাওতাবাজি না করলে হয় না,Negative
748,উল্টো হয়রানির শিকার হতে হয়,Negative
749,যালেন্সেড সাউন্ড লাভারদের জন্য ভাল,Positive
750,দামের তুলনায় পন্যটা অনেক বাজে,Negative
751,সাউন্ড কোয়ালিটি বাজে,Negative
752,পুরাই ফালতু। ,Negative
753,সাউন্ডও ক্লিয়ার।,Positive
754,খুব কম চার্জ থাকে,Negative
755,কম দামে সেরা ইয়ারফোন।,Positive
756,শেষমেশ অরিজিনালটাই পেলাম।,Positive
757,স্মুথ বেজ। ,Positive
758,ধন্যবাদ স্মার্ট গেজেট,Positive
759,ডিজাইনটাও জোস।,Positive
760,এককথায় প্রোডাক্টে আমি মুগ্ধ।❤,Positive
761,জেনুইন পেয়েছি।,Positive
762,প্রোডাক্ট ভালো আর অরিজিনাল!,Positive
763,বেজ একটু বেশিই তবে সাউন্ড ভালো!,Positive
764,আশানুরূপ প্রডাক্ট পাইনি,Negative
765,প্রোডাক্ট ভালো ,Positive
766,স্মার্ট গ্যাজেটকে ধন্যবাদ।,Positive
767,জেনুইন প্রোডাক্ট ডেলিভারি দেওয়ার জন্য সেলারকে ধন্যবাদ,Positive
768,বেশ ভালো বাজে। অথেন্টিক ছিল।,Positive
769, ১০০% অথেন্টিক প্রডাক্ট,Positive
770,সাউন্ড কোয়ালিটি অনেক ভালো। ,Positive
771,প্রোডাক্ট অামার অনেক পছন্দ হয়েছে।,Positive
772, ধন্যবাদ গেজেট হোম।,Positive
773,অরিজিনাল পেয়েছি! 😍,Positive
774,মারকেট প্রাইজ হিসাবে খুবই কম ,Positive
775,খুব ভাল সব মিলিয়ে,Positive
776,সাউন্ডকোয়ালিটি কানের জন্য আরামদায়ক নয়,Negative
777,প্রডাক্টের কোয়ালিটি যেমন হবার কথা এটি তার ধারে কাছেও নাই।,Negative
778,একমাসের মধ্যেই নষ্ট হয়ে গেছে,Negative
779,২মাস ধরে চালাচ্ছি এখন পর্যন্ত অনেক ভাল সার্ভিস। ,Positive
780,এতো এতো এতো জোশ সাউন্ড কোয়ালিটি আমি কখনো পাইনি।,Positive
781,এমন পঁচা জিনিশ বাজারে কমে আসে,Negative
782,আমি সত্যি অবাক ওতো জোশ কোয়ালিটি কেম্নে হয়।,Positive
783,বেস এর জন্য বেস্ট হবে,Positive
784,খুবই বাজে সাউন্ড কোয়ালিটি ,Negative
785," আপনেরা সেটা না দিয়ে অন্য কিছু দিবেন,",Negative
786,সাউন্ড কোয়ালিটি বেশ বাজে।,Negative
787, এটা মেনে নেওয়া যায় না।,Negative
788,ফাউল প্রডাক্ট,Negative
789,কেন ভাই Defected জিনিস দিয়ে হয়রানি করেন?,Negative
790, বাটপারি বন্ধ করেন।,Negative
791,ছবিতে একরকম বাস্তবতা ভিন্ন,Negative
792,একদম ফালতু প্রদাক্ট,Negative
793,এরকম জানলে আমি এইটা জিবনেও কিনতাম না।,Negative
794,যেমন দেখা হয়েছে তেমন হয় নাই। ,Negative
795,ভালোনা একদম ই! ,Negative
796,আমার একটা কমপ্লেইন ছিল ডেলিভারি নিয়ে,Negative
797,দামটা ও ঠিক মনে হয়েছে।,Positive
798,কাপড় ভাল না।,Negative
799,এটা নরমাল কোয়ালিটি,Negative
800,আপনারা ডেলিভারি দিতে একটু বেশীই দেরী করেন।,Negative
801,সবমিলিয়ে পছন্দের কোয়ালিটি ছিল। ,Negative
802, আমার কোন কমপ্লেইন নেই,Positive
803,আমি হতাশ হয়েছি।,Positive
804,খুবই ভাল প্রোডাক্ট।,Positive
805, আমি সন্তুষ্ট ।,Positive
806, মোটেও ক্যাটালগ এর মতো ছিলনা।,Negative
807,অনেক ভাল মানের কাপড় মনে হয়েছে।,Positive
808,"এই প্রোডাক্ট এর কোয়ালিটি ভাল, ",Positive
809,"ছবির সাথে বাস্তবে কোন মিল নাই, ",Negative
810,জামার ওড়না এবং হাতার মিল নেই।,Negative
811,ডিজাইন ছবির মতই।,Positive
812,কি অর্ডার করলাম আর কি পেলাম।,Negative
813,এর ছেয়ে নিম্নমানের জামা আর হয় না,Negative
814,প্রোডাক্টটি ছেড়া ছিল।,Negative
815,ডিজিটাল প্রতারণা সুরু করল দারাজ।,Negative
816,দাম অনুযায়ী কাপড়ের কোয়ালিটিটা ভালোই,Positive
817,আমি এই ধরনের প্রোডাক্ট সত্যি আশা করিনি,Negative
818, প্রোডাক্ট এর কোয়ালিটি ভাল,Positive
819,খুব খুব খুব নিম্নমানের জিনিস,Negative
820,অবশ্য এই দামে খুব ভাল আশা করা যায় না,Positive
821,মান আরেকটু ভাল আশা করেছিলাম।,Negative
822,ছবির মত না,Negative
823,"আমি খুশি,",Positive
824,আপনরা যা ডেলিভারি দিচ্ছেন মোটেও কাঙ্খিত নয়।,Negative
825,অনলাইনে কেনাকেটা বিশ্বাসযোগ্যতা হারাবেন।,Negative
826,রেক জনকে উৎসাহিত করার পরিবর্তে নিরৎসাহিত করতে বাধ্য হচ্ছি,Negative
827,এক কথায় এত জঘন্যতম কাপড় আগে কখনো দেখিনি।,Negative
828,ফ্রি দিলেও এই জাতীয় কাপড় আমি নিতাম না।,Negative
829,টাকা নষ্ট,Negative
830,ভাই এত বাজে প্রোডাক্ট আর কেউ নিয়েন না!,Negative
831,কাপড়ের কোয়ালিটি খুবই বাজে৷,Negative
832,ছবিতে প্রিন্ট যেমন দেখানো হয়েছে তার সাথে আকাশ পাতাল তফাৎ।,Negative
833,দারাজের কাছ থেকে এমনটা আসা করিনি।,Negative
834,কেউ এধরনের বাজে কোয়ালিটির কাপড় পড়তে পারবে না।,Negative
835,শুধু ছবিতেই ফিটফাট,Negative
836,এক প্রকার প্রতারণা ,Negative
837,এত বাজে হবে স্বপ্নেও ভাবিনি।,Negative
838,একদম বাজে কেউ কিনবেন না,Negative
839,একেবারে বাজে। ,Negative
840,"বাজে মানের, ",Negative
841,পাশাপাশি ভালো সার্ভিস পেয়েছি।,Positive
842,"ফালতু কাপড়, ",Negative
843,আমার কোন কমপ্লেইন নেই ,Positive
844,ভালো প্রোডাক্ট পেয়েছি ,Positive
845,কোয়ালিটি ভালো না,Negative
846,অতি লোভী সেলারদের জন্য দেশের অনলাইন শপিং সাইটগুলো দাড়াতে পারছে না।,Negative
847,দারাজ কে আরো অনেক বেশি নজরদারি করতে হবে কোয়ালিটি কন্ট্রোলে।,Negative
848,"কি দেখাইলেন,আর কি পাইলাম।",Negative
849,দারাজ কিভাবে মানুষকে ঠকায় তার প্রমাণ পেলাম।,Negative
850,কাপড় বং ও প্রিন্টিং কোনটাই ভালো না।,Negative
851,দারাজ কে বাই বাই অনলাইন এ আপনাদের প্রোডাক্টে কিনে শিক্ষা হয়েছে আর না।,Negative
852,পণ্যের মান নিম্নমানের,Negative
853,বাজে একটা ড্রেস। ,Negative
854,"আমি যে প্রোডাক্ট টা পেয়েছি সেটা ক্যাটালগের সাথে মিল ছিলনা, ",Negative
855,"ডিজাইন আর ওড়না টা ভালো,",Positive
856,জাষ্ট দুনম্বরী৷,Negative
857,জামা আর পায়জামার কাপড়টা খুবই নিম্নমানের পাতলা কাপড়,Negative
858,কোণ মিল নাই৷ ,Negative
859,আমি অনেক পার্থক্য দেখতে পেয়েছি।,Negative
860,ছবির সাথে একটু মিল হলেও হতো। ,Negative
861,রঙ্গের মিল নাই। ডিজাইনের মিল নাই।,Negative
862, ডিজাইন এ কিছু সমস্যা ছিল। ,Negative
863,এক রকমের ছবি দিয়ে অন্য রকমের পোষাক দিলেন৷ ,Negative
864,প্রথম বার অনলাইন এ পন্য নিয়ে ঠকলাম।,Negative
865,এটার কিছু সমস্যা পয়েছি। ,Negative
866,একদম ফালতু ড্রেস।রিটার্ন করে দিবো।,Negative
867,সেই হিসেবে জোস একটা ব্যাগ.,Positive
868,দাম টা একটু বেশি,Negative
869,রং ছবিতে যেমন আছে তেমনই পেলাম।,Positive
870, আমি অসুখী নই,Positive
871,জিন্স প্যান্ট কেটে বানানো.তবে অনেক সুন্দর।,Positive
872,দেখে নিতে পারি না বলে এমন ঠকানো উচিৎ না.,Negative
873,ঠিক যেমন চেয়েছিলাম। ,Positive
874,প্যাকেট খোলার পর দেখি একদম নষ্ট।,Negative
875,অল্প দামে চমৎকার স্কেল।,Positive
876,পারফরমেন্সে সন্তুষ্ট।,Positive
877,খুব শখ করে কিনেছিলাম। বাকি ওয়েট স্কেল থেকে তুলনামুলক কম দাম।,Positive
878,"একবার একরকম ওজন দেখায়, খুবই খারাপ, একবার ৬৫, যখন যা ইচ্ছা",Negative
879,"নস্ট, কাজ করে না।",Negative
880,বাটপারির একটা সীমা থাকা উচিত…,Negative
881, জিনিসটা খুবই কাজের।,Positive
882,একটা গর্জিয়াস লুক আছে।,Positive
883,নাতিশীতোষ্ণ কাঁথা। অনেক আরামদায়ক মনে হচ্ছে।,Positive
884, জিনিসটা খুবই কাজের।,Positive
885,পুরাই ফালতু একটা প্রডাক্ট কেউ কিনবেন না,Negative
886,ছবির মত প্রোডাক্ট পাইনি,Negative
887,ওয়ারড্রোবটা খুবই ছোট এবং প্লাস্টিকের কোয়ালিটিও মোটেই ভালো না ।,Negative
888,কোয়ালিটি আর সাইজ অনুযায়ী দাম অনেক বেশি ।,Negative
889, ভাংগা ঢাকনা দিয়ে দিছে ।,Negative
890,অনেক ভাল ছিল,Positive
891,অনেক ভাল লেগেছে ,Positive
892,ভাল ছাড়ে ভাল পণ্য আশা করছিলাম ।,Negative
893,অনেক বেশি ভাল লেগেছে আমি তাই খুব সন্তুষ্ট।,Positive
894,ডেলিভারি দ্রুত হয়েছে।,Positive
895,প্রোডাক্ট টি খুবই সন্তোষজনক।,Positive
896,প্রোডাক্টও ভাল!,Positive
897,ব্যাবহার করছি আমার অনেক ভাল লাগছে । ,Positive
898,দাম তুলনা করলে বলা যায় মার্কেট থেকে কম দাম। ,Positive
899,প্যাকেট ভালো অবস্থায় ছিল।,Positive
900,আর এফ এলের মতো কোয়ালিটি বিহীন,Negative
901,ঢাকনার এক অংশ ভাঙা ছিলো।,Negative
902,অন্যান্য ব্র্যান্ড এর তুলনায় দামে কম। ,Positive
903,কোয়ালিটি আর প্রাইজ নিঃসন্দেহে অন্য ব্রেন্ডের তুলনায় কয়েকগুন ভালো,Positive
904,প্রোডাক্ট আর ডিজাইন নিতান্তই কম . ,Negative
905,বাজে পন্য,Negative
906,প্রডাক্ট ভাল ছিল।।,Negative
907,তবে ডিজাইনটা খুব বেশি ভাল লাগেনি।।,Negative
908,ডেলিভারিতে কোন সমস্যা হয়নি।।,Positive
909, সম্ভবত জিনজিরার ২ নাম্বার জিনিস দিয়ে বোতলের ভিতর দিয়ে দেয়।,Negative
910,এইটা আমার পছন্দের একটি পন্য। ,Positive
911,এদের বিরুদ্ধে ব্যবস্থা নিতে হবে!!,Negative
912,ভন্ড কম্পানি। ,Negative
913, ঘ্রান ও ভালো।,Positive
914,যথাসময়ে ডেলিভারি পেয়েছি।,Positive
915,"একেবারে নকল মাল,",Negative
916, একেবারে ফালতু জিনিস।,Negative
917,তাদের সব পন্যই দুই নাম্বার। ,Negative
918,আমি সেটিস্ফাইড :)।,Positive
919,আমার কাছে ভালো লেগেছে। ,Positive
920, অরিজিনাল। ,Positive
921,খুবই ভালো প্রোডাক্ট।,Positive
922,"নকল বডি স্প্রে মনে হচ্ছে,",Negative
923,"ভাল ,ইনটেক প্যাকিং ছিল",Positive
924,সুগন্ধিটার মান খুবই ভাল। ,Positive
925,বেশ ভালোই।,Positive
926,কেউ কিনে প্রতারিত হবেন না!,Negative
927,আপনারাও নিসন্দেহে কিনতে পারেন,Positive
928,এটা চকবাজারের তৈরী।,Negative
929,কিনে টাকা নষ্ট করিয়েন না।,Negative
930, কোয়ালিটি অনেক ভালো প্রোডাক্টটি অরিজিনাল ছিল ,Positive
931, সেন্টি অনেক ভালো,Positive
932,প্রডাক্ট কোয়ালিটি নকল। ,Negative
933, আতরগুলো অরিজিনাল। ,Positive
934, ঘ্রাণ দীর্ঘ সময় থাকে।,Positive
935,Spray করা যায় না।,Negative
936,প্রোডাক এর গুনগত মান ভালো,Positive
937,অনেক ভাল একটি আতর। ,Positive
938,ডেলিভারি বেশ দ্রুত পেয়েছি।,Positive
939,আপনাদের থেকে সেদিন নিয়েছি।,Positive
940,পজিটিভ রিভিউ,Positive
941,সত্যিই কাজ করে,Positive
942,"ফ্র‍্যাগ্র‍্যান্স / স্মেল ভাল, ",Positive
943,"প্রোডাক্টটা ভালো,,,",Positive
944,ভালো জিনিস,Positive
945,এই প্রাইজে যথেষ্ট ভাল👍,Positive
946,খুব শক্ত। স্মুত না,Negative
947,তাও প্রোডাক্ট খারাপ না..,Positive
948,খুব শক্ত। স্মুত না,Negative
949,ফালতু কাজ! বাটপারি সার্ভিস ।,Negative
950,খুবই ভালো জিনিস। ,Positive
951, এটির হাওয়ার গতি পর্যাপ্ত না।,Negative
952,খুব কাজের জিনিস,Positive
953,"ভাল ফ্যান, কোন সমস্যা এখনও হয় নাই।",Positive
954,এটা ঠিক মত কাজ করে না।,Negative
955,এই কুলার ব্যবহার করার থেকে ফ্যান ব্যবহার করাও ভালো।,Negative
956,কেনার দুইদিন পরেই নষ্ট হয়ে গেছে।,Negative
957,সাধারণ ফ্যানের থেকেও খারাপ সার্ভিস দেয়,Negative
958,তাই নিশ্চিন্তে ব্যবহারও করতে পারছি,Positive
959,অফার এ নিয়েছিলাম দাম অনুযায়ী ভাল ।,Positive
960,প্রোডাক্ট টা কেনার পর থেকে এখনো ভাল সার্ভিস পাচ্ছি,Positive
961,কোয়ালিটি ও আমার কাছে তেমন ভাল মনে হয়নি,Negative
962,"আমাকে ভুল প্রডাক্ট দেয়া হয়েছে,,",Negative
963,এইটা সেট করতে বেশ ঝামেলা মনে হয়েছিল। ,Negative
964,"প্রোডাক্ট টা ব্যবহার করা খুব সহজ, কেনার পর থেকে এটা ব্যবহার করছি। ভাল সার্ভিস পাচ্ছি।",Positive
965,সুইচ তা একটু লো কোয়ালিটি।,Negative
966,অনেক বেশি ভাল লেগেছে আমি তাই খুব সন্তুষ্ট।,Positive
967,এইটার সার্ভিস ভাল দিচ্ছে,Positive
968,ব্যাবহার করছি আমার অনেক ভাল লাগছে । ,Positive
969,কাজ করছে মোটামুটি।,Positive
970,রান্নায় সময় কম লাগে।,Positive
971, বেশ ভালো লেগেছে,Positive
972,মার্কেট থেকে দাম কম।,Positive
973,ছোট এবং সুন্দর। ,Positive
974,কোয়ালিটি ভাল না।,Negative
975,তবে দাম অনুযাইয়ী অনেক ভাল ।,Positive
976,প্রোডাক্ট ফিনিশিং ভালো নাহ।,Positive
977,খুবই সুন্দর প্রডাক্ট। ,Positive
978,যাস্ট টাকার অপচয়,Negative
