,bangla,banglish
876,বক্সটি,Boxti
877,অভিমন্যুকে,Ovimonnyuke
878,তিনও,Tino
879,ব্যধিতে,Byadhite
880,সাংহাই,Shanghai
881,ঘূর্ণির,Ghurnir
882,আদিলের,Adiler
883,পটনির,Potnir
884,কুসুম্বা,Kusumba
885,ক্লোজড্‌,Closed
886,জ্বালিয়েও,Jwaliyeo
887,ভিসনাগরে,Visnagore
888,অভ্যন্তরেও,Ovvyontore
889,জিনপিংয়ের,Xinping er
890,অ্যাম্বুলেন্সও,Ambulance o
891,ফেড,Fed
892,এটিএম,ATM
893,নিকোলকে,Nichole ke
894,হিলসা,Hilsha
895,উপকৃতই,Upokritoi
896,খারাপই,Kharap e
897,আরকী,Arki
898,হোলি,Holy
899,ঘাঁটিতে,Ghatite
900,পতন৷,Poton
901,পুব,Pub
902,এসসিজিতে,SCG te
903,ফিল্মমেকারদের,Filmmaker der
904,নলীন,Nolin
905,গণতন্ত্রহীনতার,Gonotontrohinotar
906,গ্রীষ্মের,Grishhyer
907,শপিংমল,Shopping mall
908,চাঁদনী,Chandni
909,কেলাস,Kelash
910,সমুদ্রপৃষ্ঠ,Somudroprishtho
911,নয়কো,Noyko
912,পঞ্চত্ব,Ponchottwo
913,এসটিইএ,STEA
914,প্রফুল্লবালা,Profullobala
915,শান্তিকে,Shantike
916,গড়লেন,Gorlen
917,ম্যালেনা,Malena
918,মানিই,Mani
919,মাকড়সা,Makorsha
920,মোড়গুলিতে,Morgulite
921,নিশানায়,Nishanay
922,বিল্ডিংয়,Building
923,অ্যারন,Aaron
924,ভব্যতা,Vobyota
925,অ্যাকাদেমি,Academy
926,কুস্তিগীরদের,Kustigirder
927,ভোটব্যাঙ্কের,Votebank er
928,দোকান,Dokan
929,হঠে,Hothe
930,ইয়েট্‌স,Yates
931,সিদ্দান্ত,Siddhanto
932,পাড়ুইয়ের,Parui er
933,বাতিলরে,Batilre
934,মন্নপুরম,Monnopurom
935,মনস্তাপে,Monostape
936,উঠলও,Uthlo
937,দুয়োরানী,Duorani
938,তিনও,Tino
939,পুরোহিত,Purohit
940,ফেয়ারনেস,Fairness
941,গোমাঙ্গর,Gomangor
942,বিষাদগাথায়,Bishadgathay
943,বিনিকেই,Binikei
944,১০,10
945,পরিবেশনাতেও,Poribeshonateo
946,কানাঘুষোই,Kanaghushoi
947,হ্যারিকে,Harryke
948,বুথফেরত,Boothferot
949,অভ্যাসেও,Ovvyasheo
950,চলেনি,Choleni
951,দেব৷,Debo
952,স্পাইডারম্যান,Spiderman
953,এঞ্জেলের,Angel er
954,স্বভাবও,Shovab o
955,পিঠও,Pith o
956,খড়কুটোর,Khorkutor
957,ওরিয়েন্ট,Orient
958,ডিসিশনকে,Decision ke
959,ফলভোজী,Folbhoji
960,ধরতে,Dhorte
961,২৩তম,23th
962,চোটের,Choter
963,স্বয়ংসেবক,Soyongshebok
964,শিক্ষকদের৷,Shikkhokder
965,মোটিফের,Motif er
966,শ্যুটিংটা,Shootingta
967,নাহা,Naha
968,ওমাগবেমিকে,Omagbemike
969,মুজাফফরনগরের,Mujaffornogorer
970,মায়েরাই,Mayerai
971,জড়ানোটা,JoRanota
972,অপঘাতে,Opoghate
973,ক্রীড়াবিদকে,Krirabidke
974,শিক্ষামন্ত্রী,Shikhkhamontri
975,CCD,CCD
976,জঙ্গলমহল,Jongolmohol
977,গিলমার,Gilmar
978,দেবত্ব,Debotto
979,ঠান্ডাকেও,Thandakeo
980,দেশবিরোধীর,Deshbirodhir
981,সেলিমেরও,Selimero
982,ঘেরাটোপ,Gheratop
983,সৌন্দর্য্যের,Shoudorjer
984,আবদুল্লার,Abdullar
985,সেনসিবল,Sensible
986,ওয়র্কশপের,Workshoper
987,ঝ়়ড়,Jhor
988,অন্ধকারময়,Ondhokarmoy
989,এনেও,Eneo
990,উফ্‌,Uff
991,মন্দীভূত,Mondivut
992,ডায়ালিসিসের,Dialysiser
993,ফড়ণবীশকে,Foronbishke
994,বয়ানেও,Boyaneo
995,রক্তকরবীর,Roktokoborir
996,ফ্যাসিজমের,Fasijomer
997,১৭৪টি,Eksho chuattorti
998,কোলে,Kole
999,মেট্রোও,Metro O
1000,নিকাহনামাতেই,Nikahnamatei
1001,আইএএস,IAS 
1002,গতির,Gotir
1003,চার্লসের,Chair
1004,তৈলাক্ত,oily
1005,গাদাগাদা,Congested 
1006,দুটকরো,Du-tukro
1007,বাহিনির,Bahinir
1008,চিতালে,Chitale
1009,বেস্ট,Best
1010,প্রতিনিধিকেও,Protinidhi-keo
1011,ব্যক্তিও,Bekti-o
1012,৩১৭,317
1013,অশ্নীল,Oshlil
1014,গণশার,Gonshar 
1015,আইমার,Aimar
1016,মেঘদূত,Meghdut
1017,ডেভিডসনের,Devidson er
1018,রোমান্থন,Romanthon
1019,পুঁজিবাদ,Pujibad
1020,বইয়ের,Boiyer
1021,উত্পাদনের,Utpadon er
1022,নাচতে,nachte
1023,দুর্গাপুজোর,durgapujor
1024,চাপুক—,chapuk
1025,প্লাতিনি,Platini
1026,তাড়াবে,tarabe
1027,বিপর্যয়কে,biporjoyke
1028,ব্যাপ্ত,byapto
1029,ওয়াটারের,waterer
1030,নেমেছিল,nemechilo
1031,পথশিশুর,pothoshishur
1032,দেওয়ানো,deyano
1033,উন্নাওয়ের,unnawayer
1034,বেড়াজাল,berajal
1035,প্রাপ্তের,prapter
1036,শন,shon
1037,শ্রীয়া,shriya
1038,লুফথানসা,lufthansa
1039,শাসনকে,shashonke
1040,গ্যালনের,gyaloner
1041,কনিষ্ঠটি,konishthoti
1042,২৪৬,duishotochechollish
1043,টুর্নামেন্টই,turnamenti
1044,ব্যান্ডটা,bandta
1045,আইনসম্মত,টেবিল
1046,উৎপাদকেরা,Producers
1047,বায়ুসেনার,Airfighters
1048,টুইটগুলি—,
1049,কমলবাবুর,
1050,জবির,
1051,বাংলাদেশর,Bangladesh's
1052,নির্মীয়মাণ,On Development
1053,চাকচিক্যে,Glittering 
1054,সুশান্তবাবুর,
1055,স্মৃতিভ্রংশের,
1056,মাদুরাই,
1057,ব্যবহারকারীদের,
1058,आएंगे,
1059,নবদম্পতী,nobodompotti
1060,হেগেই,hegei
1061,টাঁকশাল,tyakshal
1062,রসগোল্লা,rasogolla
1063,সুনির্মাণ,sunirman
1064,কার্টুনকাণ্ড,cartoonkando
1065,চরিত্রেরও,choritrero
1066,বেচাল,bechal
1067,সংসারটি,songsarti
1068,মাইরি,mairi
1069,বীররাও,birrao
1070,অগ্নিভ,agnibha
1071,সাহেবসুবোদের,sahebsuboder
1072,অ্যালাউড,allowed
1073,পাটোয়ারি,patoari
1074,নিয়ন্ত্রণবাদ,niyontronbad
1075,মুখচ্ছবি,mukhocchobi
1076,উদ্যেশ্যে,uddesshe
1077,স্রষ্টা,srosta
1078,যোগানের,joganer
1079,করছেল,Had done
1080,বছরগুলির,Years'
1081,একদিনের,One Day's
1082,ডার্ক,
1083,হাসিমুখে,With smiling face
1084,জিপিও,GPO
1085,কালপর্বকেই,Kalporbokei
1086,খেলবেনই,Khelben e
1087,সঙ্কেতও,Sonketo
1088,যুক্তরা,Juktora
1089,তুলছে,Tuleche
1090,মিষ্টে,Mishte
1091,মিত্তির,Mittir
1092,কমিশনে,KorOna
1093,টার্নার,tarnar
1094,মামাবাড়ির,mamabarir
1095,সিদ্ধান্তকেও,sindhantokeo
1096,উল্কাপতনে,ulkapotone
1097,“প্রিয়ঙ্কার,priongkar
1098,রোমাঞ্চে,romance
1099,উক্তি,ukti
1100,প্রচিলত,procolito
1101,অরাজনৈতিক,orajnoitik
1102,স্লটারহাউস,Slaughter-house
1103,হুল্লোড়ের,Hullor
1104,ডিলার,Dealer 
1105,ওয়েব,Web
1106,কুঁজওয়ালা,Kunjwala
1107,গুজগুজ,Gujguj
1108,অতই,Otoyi
1109,ওমপ্রকাশের,Omproksaher 
1110,ব্যাকরণবিধি,Byakoronbidhi
1111,আশার,Ashar
1112,BASIL,Basil
1113,মৃণালের,Mrinaler
1114,চমকও,Chomoko
1115,থিম্মাইয়া,Thimmayiya
1116,চাকলাদার,Chakladar
1117,মালার,Malar
1118,কনট্রেরাস,Contreras
1119,জার্নাল,Journal 
1120,তড়িদাহত,Toridahoto
1121,শিল্পবিরোধী,Shilpobirodhi
1122,প্যারীচাঁদ,Pyaarichaand
1123,সিসিপিএর,CCPer
1124,আসবাব,Ashbab
1125,ফুটিয়েছে,Phutiyeche
1126,বগলেও,Bogoleo
1127,বায়োটিক,Biotica
1128,ছিঁড়েছে,Chnireche
1129,ডাক্ট,duct
1130,হরিরামপুরের,Horirampur er
1131,নেত্রালয়ের,Netralayer
1132,রোকা,Roka
1133,সায়নকে,Sayonke
1134,হাপিশ,Haapish
1135,চৌহদ্দিতে,Chowhodditey
1136,ইন্টারভ্যালের,Intervaler
1137,শবযাত্রা,Shobjatra
1138,নাটাবাড়িতে,Natabarite
1139,অভিবাসনের,Abhibashoner
1140,অধীর,Awdhir
1141,আত্মসমর্পণ,Aatmyoshomorpon
1142,আরবাজ,Aarbaaj
1143,২লক্ষ,Du Lokkho
1144,প্লেয়ারদের,Playerder
1145,কল্যানগড়,Kalyangawr
1146,সমাজতত্ত্ববিদ—,Shomaj-tottowbid
1147,ঢাকনা,Dhakna
1148,নিক্কো,Nikko
1149,সুখ্যাতিই,Shukkhyati-ee
1150,কবজা,Kobja
1151,শিবরাজ,Shiboraj
1152,শ্রেষ্ঠদের,Sresthoder
1153,গীতশ্রীর,Geetasree'r
1154,শুনশান,Shunshan
1155,কৃষ্ণেন্দুবাবু,Krishnendubabu
1156,প্রতিবেদকের,Protibedok'der
1157,গ্রিটিংস,Grretings
1158,ভ্যারাইটিই,Variety-ee
1159,গলি,Goli
1160,দশা,Dawsha
1161,বাকি,Baki
1162,বরাতএর,Boraater
1163,অ্যাফেক্টেড,Affected
1164,ভালুকা,Bhaluka
1165,গ্রসিং,Grossing
1166,পুকুরের,Pukurer
1167,পাইক,Paik
1168,ইম্পর্টেন্ট,Important
1169,শব্দবন্ধ,Shobdobondho
1170,মোটিয়াবুরুজের,Metiaburuj'er
1171,ব্রজেশ,Brojesh
1172,বদরক্ত,Bodrokto
1173,৮৩তে,Teeraashi' te
1174,করনদিঘী,Korondighi
1175,অনসম্বলের,Ensemble'er
1176,নামও,Naam'o
1177,গোতিই,Gotitei
1178,স্বাস্থ্যভবনেই,Sasthyobhobon-ei
1179,থাকলেন,thaaklen
1180,উহ্যই,Ujjho-ee
1181,সিইওর,Sewer
1182,ধ্বংসলীলাই,Dhongshoshila-ee
1183,রায়তেই,Rayat-ei
1184,সহযোগী,Shohojogi
1185,প্রশাসনকেই,Proshashonkei
1186,সাথে,saathe
1187,মেকানিকস,Mechanics
1188,পুনঃপ্রমাণ,Punoh-promaan
1189,ক্ষুধা,Khudha
1190,উত্তেজনার,Uttenjona'r
1191,অনুপমকেও,Anupamkeo
1192,রানাওয়াত,Ranawat
1193,কিরিয়া,Kiriya
1194,কাটলেও,Kaatleo
1195,রসায়ন—,Roshayon
1196,স্বরাষ্ট্রমন্ত্রীকে,Shawrashtromontri ke
1197,আরিয়ানের,Aryan'der
1198,বুকিংয়ে,Booking-e
1199,হেরিটেজ,Heritage
1200,একাংশেরও,Ekangshero
1201,আস্ট্রেলিয়ায়,Australia-e
1202,জুড়ল,Jurlo
1203,কয়েকের,Koyeker
1204,দুধকুমার,Dudhkumar
1205,নিবেদিতাদেবী,Nibeditadebi
1206,খাতাতেই,Khatatei
1207,নাদভি,Nadvi
1208,কুতুবউদ্দিন,Kutubuddin
1209,রাজেন,rajen
1210,ভালবাসি”,valobasi
1211,বোঝেনি,bojheni
1212,স্বয়ংসেবকের,soyongseboker
1213,শোকপ্রস্তাব,shokprostab
1214,বাধিয়েছিলেন,badhiyechilen
1215,হটলেন,hotlen
1216,ভালবাসব,valobasb
1217,ছিটিয়েই,chitiyei
1218,স্বয়ংসেবক,soyongsebok
1219,ওবাস,obas
1220,সমবেদনা,somobedona
1221,শাহরিয়ার,shahriyar
1222,খাওয়াচ্ছে,khawacche
1223,পদ্ধতিতে,poddotite
1224,সুলেমান—,suleman
1225,লেটারে,letare
1226,রামধনুর,ramdhonur
1227,খেলানোই,khelanoi
1228,ঢালাইয়ে,dhalaye
1229,“সংস্কৃতি,songskrriti
1230,লাইব্রেরিরও,libraryro
1231,বুথমুখো,boothmukho
1232,শরাফের,shorafer
1233,কম্মটি,kommoti
1234,ফেডারেলের,federaler
1235,সিন্হাকে,sinhake
1236,পড়াশোনারও,porashonaro
1237,চক্র,cokro
1238,খুঁজেছিলাম,khujechilam
1239,ডিস্ট্রিবিউটররা,distributorra
1240,রেন,ren
1241,অনুশীলনরত,onushilonroto
1242,অনুশীলনরত,onushilonroto
1243,ন্যশনাল,national
1244,ইনিংসটা,inningsta
1245,মনোমালিন্যও,monomalinyoo
1246,ইস্তেহারে,istehare
1247,এলিস,elice
1248,প্রেমিকারা,premikara
1249,জেল্লার,jellar
1250,“প্রচার,prochar
1251,ভেঙ্গে,venge
1252,রহা,roha
1253,কোম্পানীর,kompanyr
1254,প্রতিটির,protitir
1255,মিরজিয়া,mirjiya
1256,স্টাইকার,striker
1257,জানজটের,janjoter
1258,গণেশবাবা,goneshbaba
1259,লোবেন,Loben
1260,দীর্ঘদেহীই,Dirghodehi
1261,“যদি,Jodi
1262,সিরিসেনাও,Sirisenao
1263,ভদ্রতা,Bhodrota
1264,গোলমাল,Golmaal
1265,শেইখ,Sheikh
1266,বুকে,Buke
1267,দৌঁড়,Dour
1268,ডায়েরিতেও,Dairyteo
1269,মন্ত্রীমশাইয়ের,Montrimoshaier
1270,থ্যাঁতলানো,Thnatlano
1271,আলাপনবাবুকে,Alapanbabuke
1272,তুলসিপাতা,Tulsipata
1273,ব্লো,Blow
1274,বিধির,Bidhir
1275,রবারের,Robarer
1276,সোভিয়েতের,Sovieter
1277,আকবরকেও,Akbarkeo
1278,খাদ্যনালি,Khadyonali
1279,লালিয়া,Laliya
1280,দৌড়োদৌড়িতে,Dourodouriteo
1281,ফোব,Fob
1282,লুক্‌স,Looks
1283,কাপ্‌লদের,Coupleder
1284,সাহায্যে,
1285,নামানো,
1286,ডেইলিহান্ট,
1287,জিমন্যাস্টিক,Gymnastic
1288,ঘুরতে,ghurte
1289,করাতেই,koratei
1290,সুখ্যাতিও,sukkhatio
1291,লোকদের,Lokder
1292,ভোটিং,Voting
1293,পেরেক,perek
1294,ছন্দে,chonde
1295,ব্যাবসা,bebsha
1296,কিসক্যাম,kisscam
1297,রিভলভারে,revolver e
1298,প্রতিমামূর্তির,protimamurtir
1299,প্লেটলেটের,platelet er
1300,জাদেজারা,jadejara
1301,অর্ডিনেশনের,ordinationer
1302,কমলের,komoler
1303,সুভাষদা,shuvash da
1304,অজিতার,ajitar
1305,বিষধর,bishodhor
1306,পকেট,pocket
1307,শিকদার,Shikdar
1308,ছানির,chhanir
1309,সেনিয়েও,Senieo
1310,ইনডেক্সকে,indexke
